crimeDate,crimeTime,crimeCode,location,description,weapon,post,district,neighborhood,Location 1,Total Incidents
06/06/2014,1211,1K,3400 REISTERSTOWN RD,HOMICIDE,KNIFE,611,NORTHWESTERN,Park Circle,"(39.3272500000, -76.6589800000)",1
06/03/2014,0001,1F,3700 REISTERSTOWN RD,HOMICIDE,FIREARM,612,NORTHWESTERN,Park Circle,"(39.3302700000, -76.6613400000)",1
06/03/2014,0626,1O,1400 FILLMORE ST,HOMICIDE,OTHER,411,NORTHEASTERN,Coldstream Homestead Montebello,"(39.3221000000, -76.6002800000)",1
06/02/2014,1554,1F,3700 COTTAGE AV,HOMICIDE,FIREARM,611,NORTHWESTERN,Park Circle,"(39.3316700000, -76.6588000000)",1
06/02/2014,2322,1F,2200 BROOKFIELD AV,HOMICIDE,FIREARM,134,CENTRAL,Reservoir Hill,"(39.3131200000, -76.6332100000)",1
06/01/2014,2249,1F,100 S KOSSUTH ST,HOMICIDE,FIREARM,824,SOUTHWESTERN,Saint Josephs,"(39.2853500000, -76.6768100000)",1
06/01/2014,2334,1K,1800 N FULTON AV,HOMICIDE,KNIFE,732,WESTERN,Sandtown-Winchester,"(39.3089400000, -76.6464800000)",1
05/31/2014,0159,1K,0 S STOCKTON ST,HOMICIDE,KNIFE,933,SOUTHERN,Hollins Market,"(39.2872800000, -76.6373900000)",1
05/31/2014,1204,1F,100 DENISON ST,HOMICIDE,FIREARM,815,SOUTHWESTERN,Allendale,"(39.2887800000, -76.6766200000)",1
05/27/2014,2103,1O,1900 W FRANKLIN ST,HOMICIDE,OTHER,721,WESTERN,Midtown-Edmondson,"(39.2938500000, -76.6476900000)",1
05/27/2014,2103,1O,1900 W FRANKLIN ST,HOMICIDE,OTHER,721,WESTERN,Midtown-Edmondson,"(39.2938500000, -76.6476900000)",1
05/26/2014,0145,1F,0 S MOUNT ST,HOMICIDE,FIREARM,933,SOUTHERN,Union Square,"(39.2868900000, -76.6437400000)",1
05/24/2014,0114,1F,2300 FREDERICK AV,HOMICIDE,FIREARM,836,SOUTHWESTERN,Shipley Hill,"(39.2848300000, -76.6528000000)",1
05/23/2014,2134,1F,1600 GERTRUDE ST,HOMICIDE,FIREARM,811,SOUTHWESTERN,Northwest Community Action,"(39.3060500000, -76.6645600000)",1
05/22/2014,2149,1F,2800 EDMONDSON AV,HOMICIDE,FIREARM,725,WESTERN,Mosher,"(39.2945100000, -76.6630200000)",1
05/21/2014,0430,1F,2600 PARK HEIGHTS TER,HOMICIDE,FIREARM,531,NORTHERN,Greenspring,"(39.3386000000, -76.6616100000)",1
05/21/2014,2304,1F,900 N CAROLINE ST,HOMICIDE,FIREARM,322,EASTERN,Gay Street,"(39.3005000000, -76.5977800000)",1
05/17/2014,1630,1F,5100 ELMER AV,HOMICIDE,FIREARM,614,NORTHWESTERN,Central Park Heights,"(39.3469000000, -76.6779000000)",1
05/16/2014,1212,1F,0 E CHASE ST,HOMICIDE,FIREARM,142,CENTRAL,Mid-Town Belvedere,"(39.3023800000, -76.6150400000)",1
05/15/2014,2330,1F,3400 DUDLEY AV,HOMICIDE,FIREARM,415,NORTHEASTERN,Belair-Edison,"(39.3225200000, -76.5639300000)",1
05/12/2014,0106,1F,4800 ABERDEEN AV,HOMICIDE,FIREARM,433,NORTHEASTERN,Frankford,"(39.3196400000, -76.5509300000)",1
05/11/2014,0107,1F,1400 N Patterson Park Av,HOMICIDE,FIREARM,332,EASTERN,Broadway East,"(39.3068500000, -76.5856600000)",1
05/11/2014,2143,1F,2400 ANNOR CT,HOMICIDE,FIREARM,923,SOUTHERN,Westport,"(39.2623600000, -76.6410700000)",1
05/09/2014,0452,1F,3400 WILKENS AV,HOMICIDE,FIREARM,833,SOUTHWESTERN,Saint Agnes,"(39.2729600000, -76.6741300000)",1
05/07/2014,2358,1K,2100 GARRISON BLVD,HOMICIDE,KNIFE,812,SOUTHWESTERN,Mount Holly,"(39.3114600000, -76.6751000000)",1
05/06/2014,2151,1F,2400 WELLBRIDGE DR,HOMICIDE,FIREARM,424,NORTHEASTERN,Hamilton Hills,"(39.3676700000, -76.5636000000)",1
05/05/2014,1638,1F,2300 E MONUMENT ST,HOMICIDE,FIREARM,325,EASTERN,McElderry Park,"(39.2987300000, -76.5842500000)",1
05/03/2014,0132,1K,0 W BALTIMORE ST,HOMICIDE,KNIFE,112,CENTRAL,Downtown,"(39.2894900000, -76.6153200000)",1
